[2020.02.26-17.27.10:691][  0]Log file open, 02/26/20 11:27:10
[2020.02.26-17.27.10:691][  0]LogMemory: Platform Memory Stats for WindowsServer
[2020.02.26-17.27.10:691][  0]LogMemory: Process Physical Memory: 59.63 MB used, 59.63 MB peak
[2020.02.26-17.27.10:691][  0]LogMemory: Process Virtual Memory: 49.75 MB used, 49.88 MB peak
[2020.02.26-17.27.10:691][  0]LogMemory: Physical Memory: 55638.72 MB used, 65436.48 MB total
[2020.02.26-17.27.10:691][  0]LogMemory: Virtual Memory: 4396.87 MB used, 134217728.00 MB total
[2020.02.26-17.27.11:064][  0]ARK Version: 306.5
[2020.02.26-17.27.11:064][  0]PID: 13348
[2020.02.26-17.28.02:491][  0]Primal Game Data Took 48.93 seconds
[2020.02.26-17.29.03:409][  0]Server: "ironark" has successfully started!
[2020.02.26-17.29.13:347][  0]Commandline: "TheIsland?RCONEnabled=True?RCONPort=27054?SessionName=ironark?MaxPlayers=30?Port=27053?QueryPort=27053?NonPermanentDiseases=true?AllowRaidDinoFeeding=true?PreventDiseases=false?AutoDestroyOldStructuresMultiplier=1?ShowFloatingDamageText=true?AllowAnyoneBabyImprintCuddle=true?OverrideStructurePlatformPrevention=true?TribeLogDestroyedEnemyStructures=true?PvEAllowStructuresAtSupplyDrops=true?OverrideOfficialDifficulty=4?PreventOfflinePvPInterval=900?ServerPassword=9967?ServerAdminPassword=ironarkAdmin0?listen -ForceAllowCaveFlyers  -NoBattlEye  -clusterid= 
[2020.02.26-17.29.13:347][  0]Full Startup: 124.52 seconds (BP compile: 0.00 seconds)
[2020.02.26-17.29.13:347][  0]Number of cores 6
[2020.02.26-17.29.13:760][  4]AllActors Call During Gameplay: World Time 1649654.3, Class DinoStorage2CCA_C
[2020.02.26-17.29.43:357][878]AllActors Call During Gameplay: World Time 1649684.0, Class CompostBin_C
[2020.02.26-17.36.48:522][602]AllActors Call During Gameplay: World Time 1650109.1, Class DinoStorage2CCA_C
[2020.02.26-17.36.55:377][807]AllActors Call During Gameplay: World Time 1650116.0, Class DinoStorage2CCA_C
[2020.02.26-17.46.26:748][878]AllActors Call During Gameplay: World Time 1650686.9, Class StarGates_BP_C
[2020.02.26-17.46.31:417][ 18]AllActors Call During Gameplay: World Time 1650691.6, Class StarGates_BP_C
[2020.02.26-17.46.53:987][693]AllActors Call During Gameplay: World Time 1650714.1, Class StarGates_BP_C
[2020.02.26-17.49.37:394][580]AllActors Call During Gameplay: World Time 1650877.5, Class StarGates_BP_C
[2020.02.26-17.49.40:599][676]AllActors Call During Gameplay: World Time 1650880.8, Class StarGates_BP_C
[2020.02.26-17.49.49:580][943]AllActors Call During Gameplay: World Time 1650889.8, Class StarGates_BP_C
[2020.02.26-17.49.55:558][122]AllActors Call During Gameplay: World Time 1650895.8, Class StarGates_BP_C
[2020.02.26-17.50.00:282][263]AllActors Call During Gameplay: World Time 1650900.5, Class StarGates_BP_C
[2020.02.26-18.04.32:317][334]AllActors Call During Gameplay: World Time 1651772.0, Class StarGates_BP_C
[2020.02.26-18.04.35:768][437]AllActors Call During Gameplay: World Time 1651775.5, Class StarGates_BP_C
[2020.02.26-18.04.38:120][506]AllActors Call During Gameplay: World Time 1651777.9, Class StarGates_BP_C
[2020.02.26-18.08.58:492][301]AllActors Call During Gameplay: World Time 1652038.3, Class DinoStorage2CCA_C
[2020.02.26-18.09.05:183][502]AllActors Call During Gameplay: World Time 1652045.0, Class DinoStorage2CCA_C
